"","X","Drug","cell","Final_conc_uM","median_GR24.x","median_GR24.y","percent_change_GR","idx","group"
"192",192,"Asparaginase","T47D",1,0.026349894803467,0.0276361106024267,95.3458870625349,"Asparaginase_T47D","R"
"193",193,"Asparaginase","T47D",2,0.0269594942461631,0.0276361106024267,97.551694715666,"Asparaginase_T47D","R"
"194",194,"Asparaginase","T47D",3,0.027093294196589,0.0276361106024267,98.0358437059153,"Asparaginase_T47D","R"
"195",195,"Asparaginase","T47D",4,0.0271840500385074,0.0276361106024267,98.3642395616999,"Asparaginase_T47D","R"
"196",196,"Asparaginase","UACC257",1,0.0268005047695986,0.0272559337351184,98.3290648930032,"Asparaginase_UACC257","I"
"197",197,"Asparaginase","UACC257",2,0.027169090292174,0.0272559337351184,99.6813778467895,"Asparaginase_UACC257","I"
"198",198,"Asparaginase","UACC257",3,0.0239278077723864,0.0272559337351184,87.789352604553,"Asparaginase_UACC257","I"
"199",199,"Asparaginase","UACC257",4,0.0271063405625562,0.0272559337351184,99.4511537413612,"Asparaginase_UACC257","I"
"200",200,"Asparaginase","UACC257",5,0.0146182898953909,0.0272559337351184,53.6334217622332,"Asparaginase_UACC257","I"
"201",201,"BPTES","A498",1,0.0340687911073403,0.0314525111334736,108.318191074678,"BPTES_A498","R"
"202",202,"BPTES","A498",2,0.0322997977111954,0.0314525111334736,102.693859876963,"BPTES_A498","R"
"203",203,"BPTES","A498",3,0.0335202545307406,0.0314525111334736,106.574175869431,"BPTES_A498","R"
"204",204,"BPTES","A498",4,0.0348219194747113,0.0314525111334736,110.712684678623,"BPTES_A498","R"
"205",205,"BPTES","A498",5,0.0282162709368168,0.0314525111334736,89.7107096380214,"BPTES_A498","R"
"206",206,"BPTES","ACHN",1,0.0398234740352092,0.0380091976631821,104.773256168426,"BPTES_ACHN","R"
"207",207,"BPTES","ACHN",2,0.0378441971182515,0.0380091976631821,99.5658931125231,"BPTES_ACHN","R"
"208",208,"BPTES","ACHN",3,0.0405849663389697,0.0380091976631821,106.776698362888,"BPTES_ACHN","R"
"209",209,"BPTES","ACHN",4,0.0387189161856667,0.0380091976631821,101.867228371337,"BPTES_ACHN","R"
"210",210,"BPTES","ACHN",5,0.03120934179865,0.0380091976631821,82.1099726313907,"BPTES_ACHN","R"
