"","x"
"1030","C03296"
"1031","C03375"
"1032","C03415"
"1033","C03564"
"1034","C03771"
"1035","C04137"
"1036","C04281"
"1037","C05147"
"1038","C05931"
"1039","C05932"
"1040","C05933"
"1041","C05936"
"1042","C05938"
"1043","C05945"
"1044","C05946"
"1045","C05947"
"1046","C10497"
"1047","C15699"
"1048","C15700"
"1049","C15767"
"1050","C18172"
"1051","C18174"
"1052","C18326"
"1053","C19706"
"1054","C00135"
"1055","C00386"
"1056","C00388"
"1057","C00439"
"1058","C00785"
"1059","C00860"
"1060","C01044"
"1061","C01045"
"1062","C01100"
"1063","C01152"
"1064","C01262"
"1065","C01267"
"1066","C01929"
"1067","C02739"
"1068","C02741"
"1069","C02835"
"1070","C03277"
"1071","C03409"
"1072","C03680"
"1073","C04437"
"1074","C04666"
"1075","C04896"
"1076","C04916"
"1077","C05127"
"1078","C05130"
"1079","C05131"
"1080","C05133"
"1081","C05135"
"1082","C05565"
"1083","C05568"
"1084","C05570"
"1085","C05571"
"1086","C05572"
"1087","C05575"
"1088","C05827"
"1089","C05828"
"1090","C05829"
"1091","C16673"
"1092","C16674"
"1093","C20522"
"1094","C20994"
"1095","C20995"
"1096","C00146"
"1097","C00355"
"1098","C00483"
"1099","C00530"
"1100","C00547"
"1101","C00628"
"1102","C00642"
"1103","C00788"
"1104","C00822"
"1105","C01036"
"1106","C01060"
"1107","C01061"
"1108","C01161"
"1109","C01384"
"1110","C01693"
"1111","C01829"
"1112","C01850"
"1113","C02167"
"1114","C02442"
"1115","C02465"
"1116","C02514"
"1117","C02515"
"1118","C03063"
"1119","C03077"
"1120","C03758"
"1121","C03765"
"1122","C04043"
"1123","C04045"
"1124","C04052"
"1125","C04185"
"1126","C04186"
"1127","C04368"
"1128","C04642"
"1129","C04796"
"1130","C04797"
"1131","C05338"
"1132","C05350"
"1133","C05576"
"1134","C05577"
"1135","C05578"
"1136","C05579"
"1137","C05580"
"1138","C05581"
"1139","C05582"
"1140","C05583"
"1141","C05584"
"1142","C05585"
"1143","C05587"
"1144","C05588"
"1145","C05589"
"1146","C05593"
"1147","C05594"
"1148","C05595"
"1149","C05596"
"1150","C05600"
"1151","C05604"
"1152","C06044"
"1153","C06046"
"1154","C06047"
"1155","C06048"
"1156","C06199"
"1157","C06201"
"1158","C10447"
"1159","C17935"
"1160","C17936"
"1161","C17937"
"1162","C17938"
"1163","C22038"
"1164","C00079"
"1165","C00166"
"1166","C00512"
"1167","C00582"
"1168","C00596"
"1169","C00601"
"1170","C01198"
"1171","C01772"
"1172","C02137"
"1173","C02232"
"1174","C02265"
"1175","C02505"
"1176","C02763"
"1177","C03519"
"1178","C03589"
"1179","C04044"
"1180","C04148"
"1181","C04479"
"1182","C05332"
"1183","C05598"
"1184","C05607"
"1185","C05629"
"1186","C05852"
